PMID	title	abstract
26747586	A Multiplexed Amplicon Approach for Detecting Gene Fusions by Next-Generation Sequencing.	Chromosomal rearrangements that result in oncogenic gene fusions are clinically important drivers of many cancer types. Rapid and sensitive methods are therefore needed to detect a broad range of gene fusions in clinical specimens that are often of limited quantity and quality. We describe a next-generation sequencing approach that uses a multiplex PCR-based amplicon panel to interrogate fusion transcripts that involve 19 driver genes and 94 partners implicated in solid tumors. The panel also includes control assays that evaluate the 3'/5' expression ratios of 12 oncogenic kinases, which might be used to infer gene fusion events when the partner is unknown or not included on the panel. There was good concordance between the solid tumor fusion gene panel and other methods, including fluorescence in situ hybridization, real-time PCR, Sanger sequencing, and other next-generation sequencing panels, because 40 specimens known to harbor gene fusions were correctly identified. No specific fusion reads were observed in 59 fusion-negative specimens. The 3'/5' expression ratio was informative for fusions that involved ALK, RET, and NTRK1 but not for BRAF or ROS1 fusions. However, among 37 ALK or RET fusion-negative specimens, four exhibited elevated 3'/5' expression ratios, indicating that fusions predicted solely by 3'/5' read ratios require confirmatory testing.
26784937	NTRK fusion oncogenes in pediatric papillary thyroid carcinoma in northeast United States.	BACKGROUND: An increase in thyroid cancers, predominantly papillary thyroid carcinoma (PTC), has been recently reported in children. METHODS: The histopathology of 28 consecutive PTCs from the northeast United States was reviewed. None of the patients (ages 6-18 years; 20 females, 8 males) had significant exposure to radiation. Nucleic acid from tumors was tested for genetic abnormalities (n = 27). Negative results were reevaluated by targeted next-generation sequencing. RESULTS: Seven of 27 PTCs (26%) had neurotrophic tyrosine kinase receptor (NTRK) fusion oncogenes (NTRK type 3/ets variant 6 [NTRK3/ETV6], n =5; NTRK3/unknown, n = 1; and NTRK type 1/translocated promoter region, nuclear basket protein [NTRK1/TPR], n = 1), including 5 tumors that measured >2 cm and 3 that diffusely involved the entire thyroid or lobe. All 7 tumors had lymphatic invasion, and 5 had vascular invasion. Six of 27 PTCs (22%) had ret proto-oncogene (RET) fusions (RET/PTC1, n = 5; RET/PTC3, n = 1); 2 tumors measured >2 cm and diffusely involved the thyroid, and 5 had lymphatic invasion, with vascular invasion in 2. Thirteen PTCs had the B-Raf proto-oncogene, serine/threonine kinase (BRAF) valine-to-glutamic acid mutation at position 600 (BRAF(V) (600E)) (13 of 27 tumors; 48%), 11 measured <2 cm, and 6 had lymphatic invasion (46%), with vascular invasion in 3. Fusion oncogene tumors, compared with BRAF(V) (600E) PTCs, were associated with large size (mean, 2.2 cm vs 1.5 cm, respectively; P = .05), solid and diffuse variants (11 of 13 vs 0 of 13 tumors, respectively; P < .001), and lymphovascular invasion (12 of 13 vs 6 of 13 tumors, respectively; P = .02); BRAF(V) (600E) PTCs were predominantly the classic variant (12 of 13 vs 1 of 13 tumors). Two tumors metastasized to the lung, and both had fusion oncogenes (NTRK1/TPR, n = 1; RET/PTC1, n = 1). CONCLUSIONS: Fusion oncogene PTC presents with more extensive disease and aggressive pathology than BRAF(V) (600E) PTC in the pediatric population. The high prevalence of the NTRK1/NTRK3 fusion oncogene PTCs in the United States is unusual and needs further investigation.
26973202	ALK, ROS1 and RET rearrangements in lung squamous cell carcinoma are very rare.	OBJECTIVES: Chromosomal rearrangements of ALK and ROS1 genes in non-small cell lung carcinoma (NSCLC) define a molecular subgroup of lung adenocarcinoma (ADC) that is amenable to targeted therapy with tyrosine kinase inhibitors (TKIs) crizotinib. Emerging clinical studies have demonstrated that patients with RET-rearranged NSCLC may also benefit from existing RET TKIs, including cabozantinib and vandetanib. However, the reported cases of lung squamous cell carcinomas (SCC) harboring gene rearrangements have been detected via fluorescence in situ hybridization (FISH) or immunohistochemistry (IHC) from materials such as biopsy or resection. Fusion events identified in lung SCC raise the question of whether this histologic subtype should also be evaluated for merit molecular testing. This work was undertaken to study the prevalence of lung SCC harboring ALK, ROS1, and RET translocations. MATERIALS AND METHODS: Squamous cell carcinomas were confirmed using both histological examination by pathologists and immunohistochemistry analysis with positive staining of P63 and CK5/6 combined with negative CK7 and TTF-1 staining. 214 samples from surgically resected patient tissues were used to search for ALK, ROS1, and RET rearrangements by a NanoString analysis method. Fusion events were detected in a single-tube, multiplex assay system that relied on a complementary strategy of interrogation of 3' gene overexpression and detection of specific fusion transcript variants. RESULTS AND CONCLUSION: ALK, ROS1 or RET gene rearrangements appeared 0 times out of 214 cases of lung SCC. Our data revealed that these fusions may be very rare in lung squamous cancer. The molecular screening strategy should therefore be focused on lung adenocarcinoma as the current National Comprehensive Cancer Network (NCCN) guideline recommends.
27259011	Recurrent NTRK1 Gene Fusions Define a Novel Subset of Locally Aggressive Lipofibromatosis-like Neural Tumors.	The family of pediatric fibroblastic and myofibroblastic proliferations encompasses a wide spectrum of pathologic entities with overlapping morphologies and ill-defined genetic abnormalities. Among the superficial lesions, lipofibromatosis (LPF), composed of an admixture of adipose tissue and fibroblastic elements, in the past has been variously classified as infantile fibromatosis or fibrous hamartoma of infancy. In this regard, we have encountered a group of superficial soft tissue tumors occurring in children and young adults, with a notably infiltrative growth pattern reminiscent of LPF, variable cytologic atypia, and a distinct immunoprofile of S100 protein and CD34 reactivity, suggestive of neural differentiation. SOX10 and melanocytic markers were negative in all cases tested. In contrast, a control group of classic LPF displayed bland, monomorphic histology and lacked S100 protein immunoreactivity. To define the pathogenetic abnormalities in these seemingly distinctive groups, we performed RNA sequencing for fusion gene discovery in 2 cases each, followed by screening for any novel alterations identified in a larger cohort representing both entities. The 2 index LPF-like neural tumors (LPF-NT) showed TPR-NTRK1 and TPM3-NTRK1 gene fusions, which were further validated by fluorescence in situ hybridization (FISH) and reverse transcription polymerase chain reaction. Subsequent FISH screening of 14 LPF-NT identified recurrent NTRK1 gene rearrangements in 10 (71%) cases. Of the NTRK1-negative LPF-NT cases, 1 case each showed ROS1 and ALK gene rearrangements. In contrast, none of the 25 classic LPFs showed NTRK1 gene rearrangements, although regional abnormalities were noted in the 1q21-22 region by FISH in a majority of cases. Furthermore, NTRK1 immunostaining was positive only in NTRK1-rearranged S100-positive LPF-NT but negative in classic LPF. These results suggest that NTRK1 oncogenic activation through gene fusion defines a novel and distinct subset of soft tissue tumors resembling LPF, but displaying cytologic atypia and a neural immunophenotype, provisionally named LPF-like neural tumors.
27343444	Custom Gene Capture and Next-Generation Sequencing to Resolve Discordant ALK Status by FISH and IHC in Lung Adenocarcinoma.	INTRODUCTION: We performed a genomic study in lung adenocarcinoma cases with discordant anaplastic lymphoma receptor tyrosine kinase gene (ALK) status by fluorescent in situ hybridization (FISH) and immunohistochemical (IHC) analysis. METHODS: DNA from formalin-fixed paraffin-embedded tissues of 16 discordant (four FISH-positive/IHC-negative and 12 FISH-negative/IHC-positive) cases by Vysis ALK Break Apart FISH and ALK IHC testing (ALK1 clone) were subjected to whole gene capture and next-generation sequencing (NGS) of nine genes, including ALK, echinoderm microtubule associated protein like 4 gene (EML4), kinesin family member 5B gene (KIF5B), staphylococcal nuclease and tudor domain containing 1 gene (SND1), BRAF, ret proto-oncogene (RET), ezrin gene (EZR), ROS1, and telomerase reverse transcriptase (TERT). All discordant cases (except one FISH-negative/IHC-positive case without sufficient tissue) were analyzed by IHC with D5F3 antibody. In one case with fresh frozen tissue, whole transcriptome sequencing was also performed. Twenty-six concordant (16 FISH-positive/IHC-positive and 10 FISH-negative/IHC-negative) cases were included as controls. RESULTS: In four ALK FISH-positive/IHC-negative cases, no EML4-ALK fusion gene was observed by NGS, but in one case using fresh frozen tissue, we identified EML4-baculoviral AIP repeat containing 6 gene (BIRC6) and AP2 associated kinase 1 gene (AAK1)-ALK fusion genes. Whole transcriptome sequencing revealed a highly expressed EML4-BIRC6 fusion transcript and a minimally expressed AAK1 transcript. Among the 12 FISH-negative/IHC-positive cases, no evidence of ALK gene rearrangement was detected by NGS. Eleven of 12 FISH-negative/IHC-positive cases detected by ALK1 clone were concordant by repeat ALK IHC with D5F3 antibody (i.e., FISH-negative/IHC-negative by D5F3 clone). Among the 16 ALK FISH-positive/IHC-positive positive controls, whole gene capture identified ALK gene fusion in 15 cases, including in one case with Huntington interacting protein 1 gene (HIP1)-ALK. No ALK fusion gene was observed in any of the 10 FISH-negative/IHC-negative cases. Other fusion genes involving ROS1, EZR, BRAF, and SND1 were also found. CONCLUSIONS: ALK FISH results appeared to be false-positive in three of four FISH-positive/IHC-negative cases, whereas no false-negative ALK FISH case was identified among 12 ALK FISH-negative/IHC-positive cases by ALK1 clone, which was in keeping with the concordant FISH-negative/IHC-negative status by D5F3 clone. Our targeted whole gene capture approach using formalin-fixed paraffin embedded samples was effective for detecting rearrangements involving ALK and other actionable oncogenes.
28013235	Kinase impact assessment in the landscape of fusion genes that retain kinase domains: a pan-cancer study.	Assessing the impact of kinase in gene fusion is essential for both identifying driver fusion genes (FGs) and developing molecular targeted therapies. Kinase domain retention is a crucial factor in kinase fusion genes (KFGs), but such a systematic investigation has not been done yet. To this end, we analyzed kinase domain retention (KDR) status in chimeric protein sequences of 914 KFGs covering 312 kinases across 13 major cancer types. Based on 171 kinase domain-retained KFGs including 101 kinases, we studied their recurrence, kinase groups, fusion partners, exon-based expression depth, short DNA motifs around the break points and networks. Our results, such as more KDR than 5'-kinase fusion genes, combinatorial effects between 3'-KDR kinases and their 5'-partners and a signal transduction-specific DNA sequence motif in the break point intronic sequences, supported positive selection on 3'-kinase fusion genes in cancer. We introduced a degree-of-frequency (DoF) score to measure the possible number of KFGs of a kinase. Interestingly, kinases with high DoF scores tended to undergo strong gene expression alteration at the break points. Furthermore, our KDR gene fusion network analysis revealed six of the seven kinases with the highest DoF scores (ALK, BRAF, MET, NTRK1, NTRK3 and RET) were all observed in thyroid carcinoma. Finally, we summarized common features of 'effective' (highly recurrent) kinases in gene fusions such as expression alteration at break point, redundant usage in multiple cancer types and 3'-location tendency. Collectively, our findings are useful for prioritizing driver kinases and FGs and provided insights into KFGs' clinical implications.
28073897	Identification of ALK, ROS1, and RET Fusions by a Multiplexed mRNA-Based Assay in Formalin-Fixed, Paraffin-Embedded Samples from Advanced Non-Small-Cell Lung Cancer Patients.	BACKGROUND: Anaplastic lymphoma receptor tyrosine kinase (ALK), ROS proto-oncogene 1, receptor tyrosine kinase (ROS1), and ret proto-oncogene (RET) fusions are present in 5%-7% of patients with advanced non-small-cell lung cancer (NSCLC); their accurate identification is critical to guide targeted therapies. FISH and immunohistochemistry (IHC) are considered the gold standards to determine gene fusions, but they have limitations. The nCounter platform is a potentially useful genomic tool for multiplexed detection of gene fusions, but has not been validated in the clinical setting. METHODS: Formalin-fixed, paraffin embedded (FFPE) samples from 108 patients with advanced NSCLC were analyzed with an nCounter-based assay and the results compared with FISH, IHC, and reverse transcription PCR (RT-PCR). Data on response to fusion kinase inhibitors was retrospectively collected in a subset of 29 patients. RESULTS: Of 108 FFPE samples, 98 were successfully analyzed by nCounter (91%), which identified 55 fusion-positive cases (32 ALK, 21 ROS1, and 2 RET). nCounter results were highly concordant with IHC for ALK (98.5%, CI = 91.8-99.7), while 11 discrepancies were found compared with FISH (87.5% concordance, CI = 79.0-92.9). For ROS1, nCounter showed similar agreement with IHC and FISH (87.2% and 85.9%), but a substantial number of samples were positive only by 1 or 2 techniques. Of the 25 patients deriving clinical benefit from fusion kinase inhibitors, 24 were positive by nCounter and 22 by FISH. CONCLUSIONS: nCounter compares favorably with IHC and FISH and can be used for identifying patients with advanced NSCLC positive for ALK/ROS1/RET fusion genes.
28088512	ROS1 Fusions Rarely Overlap with Other Oncogenic Drivers in Non-Small Cell Lung Cancer.	INTRODUCTION: Chromosomal rearrangements involving the gene ROS1 define a distinct molecular subset of NSCLCs with sensitivity to ROS1 inhibitors. Recent reports have suggested a significant overlap between ROS1 fusions and other oncogenic driver alterations, including mutations in EGFR and KRAS. METHODS: We identified patients at our institution with ROS1-rearranged NSCLC who had undergone testing for genetic alterations in additional oncogenes, including EGFR, KRAS, and anaplastic lymphoma receptor tyrosine kinase gene (ALK). Clinicopathologic features and genetic testing results were reviewed. We also examined a separate database of ROS1-rearranged NSCLCs identified through the commercial FoundationOne assay (Foundation Medicine, Cambridge, MA). RESULTS: Among 62 patients with ROS1-rearranged NSCLC evaluated at our institution, none harbored concurrent ALK fusions (0%) or EGFR activating mutations (0%). KRAS mutations were detected in two cases (3.2%), one of which harbored a concurrent noncanonical KRAS I24N mutation of unknown biological significance. In a separate ROS1 fluorescence in situ hybridization-positive case, targeted sequencing failed to confirm a ROS1 fusion but instead identified a KRAS G13D mutation. No concurrent mutations in B-Raf proto-oncogene, serine/threonine kinase gene (BRAF), erb-b2 receptor tyrosine kinase 2 gene (ERBB2), phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha gene (PIK3CA), AKT/serine threonine kinase 1 gene (AKT1), or mitogen-activated protein kinase kinase 1 gene (MAP2K1) were detected. Analysis of an independent data set of 166 ROS1-rearranged NSCLCs identified by FoundationOne demonstrated rare cases with co-occurring driver mutations in EGFR (one of 166) and KRAS (three of 166) and no cases with co-occurring ROS1 and ALK rearrangements. CONCLUSIONS: ROS1 rearrangements rarely overlap with alterations in EGFR, KRAS, ALK, or other targetable oncogenes in NSCLC.
28433076	Identification of NTRK3 Fusions in Childhood Melanocytic Neoplasms.	Spitzoid neoplasms are a distinct group of melanocytic tumors. Genetically, they lack mutations in common melanoma-associated oncogenes. Recent studies have shown that spitzoid tumors may contain a variety of kinase fusions, including ROS1, NTRK1, ALK, BRAF, and RET fusions. We report herein the discovery of recurrent NTRK3 gene rearrangements in childhood melanocytic neoplasms with spitzoid and/or atypical features, based on genome-wide copy number analysis by single-nucleotide polymorphism array, which showed intragenic copy number changes in NTRK3. Break-apart fluorescence in situ hybridization confirmed the presence of NTRK3 rearrangement, and a novel MYO5A-NTRK3 transcript, representing an in-frame fusion of MYO5A exon 32 to NTRK3 exon 12, was identified using a rapid amplification of cDNA ends-based anchored multiplex PCR assay followed by next-generation sequencing. The predicted MYO5A-NTRK3 fusion protein consists of several N-terminal coiled-coil protein dimerization motifs encoded by MYO5A and C-terminal tyrosine kinase domain encoded by NTRK3, which is consistent with the prototypical structure of TRK oncogenic fusions. Our study also demonstrates how array-based copy number analysis can be useful in discovering gene fusions associated with unbalanced genomic aberrations flanking the fusion points. Our findings add another potentially targetable kinase fusion to the list of oncogenic fusions in melanocytic tumors.
28724272	Patients' Characteristics, Histopathological Findings, and Tumor Stage in Different Types of Malignant Melanoma: A Retrospective Multicenter Study.	Cutaneous malignant melanoma (CMM) is currently the most fatal of skin cancers accounting for 50000 deaths annually. Five distinct melanomas are described histopathologically: superficial spreading, lentigo maligna, nodular, acral lentiginous and mucosal melanoma. The aim of this study was to investigate the characteristics of patients with various types of malignant melanoma and evaluate histopathological findings. In this retrospective study, we obtained our data from the records of 111 patients with melanoma. Biopsied specimens were collected and re-evaluated. Demographic information and histopathological findings were noted. SPSS 16 was used for analyzing data. Chi-square and one-way ANOVA was conducted for comparing categorical and numerical variables respectively. The mean age of patients was 59.33±14.68 years old. Most common melanoma type was acral lentiginous (40.5%), followed by nodular (35.1%) and mucosal (10.8%). The highest tumor thickness was viewed in nodular melanoma followed by mucosal melanoma. The highest rate of metastasis, microsatellitosis, perineural invasion and Clark level of the invasion were reported in nodular and acral lentiginous respectively. The most frequent rate of ulceration and vascular invasion was reported in mucosal melanoma. Distribution of melanoma types varies largely in different regions. Lack of classic presentations in some types necessitate specific public education about warning signs. Histopathological and pathological characteristics in melanoma can aid in better staging and management of the tumor.
