PMID	title	abstract
9102202	Distinct somatic genetic changes associated with tumor progression in carriers of BRCA1 and BRCA2 germ-line mutations.	BRCA1 and BRCA2 mutations confer increased risk for development of breast cancer, but a number of additional, currently largely unknown, somatic genetic defects must also accumulate in the breast epithelial cells before malignancy develops. To evaluate the nature of these additional somatic genetic defects, we performed a genome-wide survey by comparative genomic hybridization on breast cancers from 21 BRCA1 mutation carriers, 15 BRCA2 mutation carriers, and 55 unselected controls. The total number of genetic changes was almost two times higher in tumors from both BRCA1 and BRCA2 mutation carriers than in the control group. In BRCA1 tumors, losses of 5q (86%), 4q (81%), 4p (64%), 2q (40%), and 12q (40%) were significantly more common than in the control group (7-13%). BRCA2 tumors were characterized by a higher frequency of 13q (73%) and 6q (60%) losses and gains of 17q22-q24 (87%) and 20q13 (60%) as compared to the prevalence of these changes in the control group (12-18%). In conclusion, accumulation of somatic genetic changes during tumor progression may follow a unique pathway in individuals genetically predisposed to cancer, especially by the BRCA1 gene. Activation or loss of genes in the affected chromosomal regions may be selected for during tumor progression in cells lacking functional BRCA1 or BRCA2. Identification of such genes could provide targets for therapeutic intervention and early diagnosis.
9105560	Familial ligand-defective apolipoprotein B-100: detection, biochemical features and haplotype analysis of the R3531C mutation in the UK.	Familial ligand-defective apolipoprotein (apo) B-100 (FDB) is an autosomal codominant disorder which may give rise to hypercholesterolaemia. It is caused by the substitution of glutamine for arginine at codon 3500 of the apo B gene (apo B R3500Q), resulting in decreased binding of low density lipoprotein (LDL) to the LDL receptor. In order to search for other mutations in this region of the apo B gene, we have screened genomic DNA, obtained from 412 hypercholesterolaemic individuals, using heteroduplex analysis. Additional heteroduplex bands were observed following analysis of DNA from 11 individuals, nine of whom were heterozygous for apo B R3500Q. The two remaining individuals, both of Celtic origin, were shown by DNA sequencing to be heterozygous for a C-->T transition at nucleotide 10800 of the apo B gene, resulting in the substitution of cysteine for arginine at codon 3531 (apo B R3531C). Both had a strong family history of atherosclerosis and family studies revealed a further four individuals heterozygous for the mutation, three of whom were hypercholesterolaemic. Individuals heterozygous for apo B R3531C and R3500Q had mean +/- S.E.M. cholesterol concentrations of 7.82 +/- 0.68 and 8.53 +/- 0.31 mmol/l, respectively. These values were significantly higher than the value of 5.51 +/- 0.23 mmol/l observed in their unaffected relatives. These findings suggest that apo B R3531C is both less common in the UK and gives rise to a less severe form of hypercholesterolaemia than the classical 3500 mutation. In one of the families, the R3531C mutation occurred on a haplotype, compatible with that previously assigned to the mutation in a North American family also of Celtic origin. This is consistent with the mutation having been inherited from a common distant ancestor in individuals of Celtic origin.
9112375	Overexpression and activation of the insulin receptor enhances expression of ERCC-1 messenger ribonucleic acid in cultured cells.	In this study, a partial hamster complementary DNA encoding ERCC-1, a member of the DNA excision repair gene family, has been cloned. The nucleic acid and amino acid sequences were highly homologous to those of human and mouse ERCC-1. The hamster ERCC-1 gene was expressed as a 1.2-kilobase message in cultured Chinese hamster ovary cells. Northern (RNA) blot analysis revealed that overexpression of the insulin receptor or various growth factor receptor tyrosine kinases in Chinese hamster ovary cells increased ERCC-1 messenger RNA (mRNA) levels. This effect did not occur in cells overexpressing mutated insulin receptors that are known to have impaired kinase-related signaling. Increased ERCC-1 expression correlated with resistance to UV exposure. Fluorescent-activated cell sorter analysis of confluent cell populations indicated no differences in cell cycle distribution. Furthermore, no significant relationship was demonstrated between the relative expression of ERCC-1 mRNA and the rate of glucose utilization. Insulin enhanced the accumulation of ERCC-1 mRNA in serum-deprived cells expressing wild-type insulin receptors. The potential role for activation of the insulin receptor and related growth factor receptors in ERCC-1 gene expression and function remains to be defined.
9112401	Up-regulation of insulin/insulin-like growth factor-I hybrid receptors during differentiation of HT29-D4 human colonic carcinoma cells.	To assess the autocrine function of insulin-like growth factor II (IGF-II) in the balance of proliferation and differentiation in HT29-D4 human colonic cancer cells, we studied the expression of IGF-I receptors (IGF-IR) and insulin receptors (IR) in relation to the state of cell differentiation. IGF-IR and IR were expressed in both undifferentiated and enterocyte-like differentiated HT29-D4 cells. IGF-IR had two isoforms with a 97-kDa and a 102-kDa beta-subunit. In addition, HT29-D4 cells expressed hybrid receptors (HR) formed by the association of two alphabeta heterodimers from both IR and IGF-IR. HR were evidenced through 1) inhibition of IGF-I binding by the B6 anti-IR antibody and 2) immunoprecipitation with the alpha-IR3 anti-IGF-IR antibody, which revealed an additional 95-kDa IR beta-subunit that disappeared when the heterotetrameric receptor was dissociated by disulfide reduction into alphabeta heterodimers before immunoprecipitation. Like IGF-IR, HR had a high affinity for IGF-I (Kd, approximately 1.5 nM), but did not bind insulin significantly; the latter interacted with the native IR only (Kd, approximately 4 nM). In the differentiated HT29-D4 cell monolayer, all receptor species were strongly polarized (>97%) toward the basolateral membrane. Moreover, HT29-D4 cell differentiation was accompanied by an approximately 2-fold increase in the number of IR, whereas the number of IGF-I-binding sites was unaltered. However, in differentiated HT29-D4 cells, approximately 55% of the latter were involved in HR vs. approximately 20% in undifferentiated HT29-D4 cells. Thus, HT29-D4 cell differentiation is characterized by an up-regulation (approximately 3-fold) of the level of HR coupled to a down-regulation (approximately 40%) of the level of native tetrameric IGF-IR. Alterations were induced early during the cell differentiation process, i.e. 5 days postconfluence, and remained unchanged for at least 21 days. Taken together, these results suggest that the IGF-II autocrine loop in HT29-D4 cells may trigger distinct signaling pathways if it activates native IGF-IR, which predominate in undifferentiated cells, or if it activates HR, which are up-regulated in differentiated cells.
9120013	RNA metabolism in myotonic dystrophy: patient muscle shows decreased insulin receptor RNA and protein consistent with abnormal insulin resistance.	Myotonic dystrophy is a dominantly inherited clinically variable multisystemic disorder, and has been found to be caused by heterozygosity for a trinucleotide repeat expansion mutation in the 3' untranslated region of a protein kinase gene (DM kinase). The mechanisms by which the expanded repeat in DNA results in a dominant biochemical defect and the varied clinical phenotype, is not known. We have recently proposed a model where disease pathogenesis may occur at the RNA level in myotonic dystrophy: the mutant DM kinase RNA with the expansion mutation may disrupt cellular RNA metabolism in some general manner, as evidenced by defects in RNA processing of the normal DM kinase gene in heterozygous patients (dominant negative RNA mutation). Here we further test this hypothesis by measuring RNA metabolism of other genes in patient muscle biopsies (nine adult onset myotonic dystrophy patients, two congenital muscular dystrophy patients, four normal controls, and four myopathic controls). We focused on the insulin receptor gene because of the documented insulin resistance of DM patients. We show that there is a significant decrease in insulin receptor RNA in both total RNA and RNA polyA+ pools relative to normal and myopathic control muscles (P < 0.002), measured relative to both dystrophin RNA and muscle sodium channel RNA. We also show reductions in insulin receptor protein. Our results reinforce the concept of a generalized RNA metabolism defect in myotonic dystrophy, and offer a possible molecular mechanism for the increased insulin resistance observed in many myotonic dystrophy patients.
9129722	No interaction between the APOE and the alpha-1-antichymotrypsin genes on risk for Alzheimer's disease.	It is now known that possession of one of the three common forms of the apolipoprotein E gene (allele epsilon 4) confers an increased risk for Alzheimer's disease (AD), both familial and sporadic, and that this risk is dose-dependent. Other genes that may play a role in AD, either through independent association with the disease or through modification of, or interaction with, the existing apolipoprotein E (APOE) risk, are now under investigation including the alpha-1-antichymotrypsin (ACT) gene, the very low density lipoprotein receptor (VLDL-R) gene, and the presenilin-1 (PS-1) gene. Kamboh et al. [1995] reported that a polymorphism in the alpha-1-antichymotrypsin gene could modify the risk for AD conferred by the APOE locus, specifically by increasing the risk for AD among epsilon 4 homozygotes. The ACT gene, which is found on chromosome 14, has previously been proposed as a candidate for AD due to the presence of the ACT protein in senile plaques and the reported elevation of the protein in the cerebro-spinal fluid (CSF) and serum of AD cases. We have investigated this reported association within our familial and sporadic AD dataset, where we find no independent association between ACT and the occurrence of AD. Logistic regression analysis excludes ACT or the interaction between ACT and APOE as significant contributors in the prediction of disease status. By this analysis, ACT genotyping does not provide additional information about an individual's risk of Alzheimer's disease beyond the risk information conferred by APOE genotype alone.
9140076	Insulin-like growth factors control the regulation of oestrogen and progesterone receptor expression by oestrogens.	Ligands for the type I insulin-like growth factor (IGF) receptor interact with oestrogens to control the proliferation of oestrogen responsive breast cancer cells. The aim of this study was to determine the involvement of ligands for the type I IGF receptor in the regulation of oestrogen receptor (OR) expression by oestrogens and antioestrogens in these cells. Oestrogen decreased OR mRNA levels in MCF-7 cells whereas it increased them in T47D, EFM-19 and ZR-75 cells. In MCF-7 cells, IGF-I and insulin lowered further OR expression in the presence of oestrogen. In the presence of IGF-I or insulin, the induction of progesterone receptor mRNA by oestradiol was considerably attenuated in MCF-7 cells, showing that the enhanced down-regulation of OR mRNA levels influenced the expression of oestrogen-regulated genes. The oestrogen agonist activity of the antioestrogens tamoxifen and ICI 182 780 for the down-regulation of OR expression in MCF-7 cells was modulated by type I IGF receptor ligands. Overall these experiments show that OR expression is differentially regulated by oestrogen in individual oestrogen-responsive breast cancer cell lines. Ligands for the type I IGF receptor can modulate regulation of OR expression by oestrogens and antioestrogens principally in cells in which oestrogens down-regulate OR expression.
9142960	Insulin-like growth factors in breast cancer.	Insulin-like growth factor (IGF)-I is one of the most potent mitogens to many breast cancer cell lines in vitro. Effective growth inhibition in vitro may be achieved by antibodies to the type I IGF receptor (IGF-IR) or by using antisense strategies. Most human breast cancers express IGF-IR in vivo. Thus, different therapeutic strategies aimed at inhibiting ligand stimulation of the IGF-IR may be an attractive treatment option against breast cancer. Several drugs commonly used in breast cancer influence the IGF system both in vitro and in vivo. While antioestrogens such as tamoxifen and droloxifene reduce the expression of IGF-IR in vitro and suppress plasma levels of IGF-I but elevate IGF-binding protein-1 in vivo, megestrol acetate may reduce the delivery of IGFs to the tissues by inhibition of IGFBP-3 protease activity.
9157973	The insulin-like growth factor II receptor gene is mutated in genetically unstable cancers of the endometrium, stomach, and colorectum.	Disruption of the DNA mismatch repair system, characterized by microsatellite instability (MI), plays an important role in the course of human carcinogenesis. Repetitive sequences constitute targets for mutation in MI+ cells, and frequent mutations have indeed been reported in such regions within the transforming growth factor beta receptor II (RII) gene in genetically unstable colorectal and gastric cancers. However, other genes that are targets for mutations in MI+ cells during the course of carcinogenesis have proven elusive. Because the insulin-like growth factor II receptor (IGFIIR) gene contains several repetitive sequences within its coding region, we examined mutations of this gene in MI+ cancers occurring at various primary sites. We found frameshift mutations in the poly(G)8 tract of IGFIIR in eight tumors, all of which were MI+: 4 of 26 (15%) MI+ endometrial cancers, 3 of 12 (25%) MI+ gastric cancers, and 1 of 18 (6%) MI+ colorectal cancers. In contrast, no mutation was found in 51 pancreatic cancers, 7 of which (14%) were MI+. These results implicate abnormal IGFIIR-mediated growth control in carcinogenesis involving the endometrium, stomach, and colorectum but not the pancreas.
9158141	Structure and sequence variation at the human leptin receptor gene in lean and obese Pima Indians.	The cloning of human and mouse cDNAs from brain that encode high affinity leptin receptors was recently reported. We have physically localized the human leptin receptor gene (LEPR) to a region at 1p31, between the anonymous microsatellite markers D1S515 and D1S198. The genomic structure of the human leptin receptor gene, corresponding to the published human brain cDNA sequence, spans over 70 kb and includes 20 exons. Since the leptin receptor gene is a candidate gene for obesity, and because of its proximity to D1S198, a marker previously linked to insulin secretion, the LEPR gene was sequenced in 20 non-diabetic Pima Indians chosen for extremes in percent body fat and in their acute insulin response to intravenous glucose. Seven polymorphic sites were identified. Two of these polymorphisms, Lys109Arg and Gln223Arg, are amino acid substitutions in the extracellular domain of the leptin receptor, one polymorphism is a silent substitution, and four occur in non-coding regions of the leptin receptor. Four of these sites are in linkage disequilibrium with one another. Nucleotides at three noncoding polymorphic sites were found exclusively in obese Pima Indians. This demonstrates an association between variation at the leptin receptor gene and obesity in humans.
