Cosine Interval	2s	1s	0s
0.0	0	0	277
0.01	0	0	44
0.02	0	0	68
0.03	0	0	85
0.04	0	0	83
0.05	0	0	111
0.06	0	0	132
0.07	0	0	124
0.08	0	0	153
0.09	0	0	188
0.1	0	0	235
0.11	0	0	234
0.12	0	0	266
0.13	0	0	303
0.14	0	0	368
0.15	0	0	417
0.16	0	0	417
0.17	0	0	497
0.18	0	0	561
0.19	0	2	631
0.2	0	1	647
0.21	0	1	693
0.22	0	1	741
0.23	0	3	835
0.24	0	7	884
0.25	0	5	918
0.26	0	8	971
0.27	0	14	1141
0.28	0	14	1129
0.29	0	30	1231
0.3	0	30	1235
0.31	0	54	1305
0.32	0	60	1345
0.33	0	88	1440
0.34	0	109	1444
0.35	0	139	1475
0.36	0	162	1480
0.37	0	221	1510
0.38	0	276	1526
0.39	0	334	1586
0.4	0	442	1538
0.41	0	526	1535
0.42	0	605	1562
0.43	0	707	1472
0.44	0	758	1405
0.45	0	973	1488
0.46	0	1130	1396
0.47	0	1228	1344
0.48	0	1346	1333
0.49	1	1576	1212
0.5	0	1707	1204
0.51	0	1926	1099
0.52	1	2057	1149
0.53	1	2197	1054
0.54	0	2346	923
0.55	2	2545	944
0.56	10	2544	830
0.57	8	2450	780
0.58	16	2739	676
0.59	45	2690	647
0.6	77	2825	601
0.61	141	2613	564
0.62	268	2672	469
0.63	421	2582	468
0.64	611	2468	393
0.65	926	2312	360
0.66	1372	2204	304
0.67	1811	2049	307
0.68	2490	1890	233
0.69	3212	1697	237
0.7	3694	1611	196
0.71	4317	1409	187
0.72	4956	1218	160
0.73	5444	1078	154
0.74	5616	917	136
0.75	5658	817	86
0.76	5352	705	93
0.77	4895	610	79
0.78	4442	522	53
0.79	3746	393	49
0.8	3179	335	41
0.81	2423	266	30
0.82	1797	206	26
0.83	1335	158	25
0.84	968	117	29
0.85	600	113	12
0.86	393	78	12
0.87	245	78	14
0.88	133	61	6
0.89	90	36	10
0.9	46	24	7
0.91	24	24	9
0.92	15	12	4
0.93	9	14	2
0.94	6	6	3
0.95	0	8	3
0.96	1	1	2
0.97	0	2	1
0.98	0	4	2
0.99	0	3	0
1.0	0	4	2
