Cosine Interval	As	Bs	Cs
0.0	88	1095	10676
0.01	120	1272	12285
0.02	123	1464	14221
0.03	151	1643	16045
0.04	182	1735	17980
0.05	219	2187	20952
0.06	242	2425	23253
0.07	279	2747	26196
0.08	324	3215	29402
0.09	378	3485	32904
0.1	396	3956	36624
0.11	470	4510	41378
0.12	547	5018	45941
0.13	595	5748	50974
0.14	677	6206	56076
0.15	773	6889	61967
0.16	870	7715	68361
0.17	1071	8465	75183
0.18	1149	9388	81933
0.19	1277	10310	89275
0.2	1489	11377	96466
0.21	1635	12665	105194
0.22	1886	13560	113470
0.23	2069	14928	122620
0.24	2375	16082	131443
0.25	2485	17666	141848
0.26	2818	19033	150792
0.27	3140	20444	160880
0.28	3520	22184	171754
0.29	3949	23770	181688
0.3	4186	25241	193945
0.31	4742	27263	203052
0.32	5061	28826	214320
0.33	5668	30934	225487
0.34	6217	32281	235260
0.35	6770	34559	247106
0.36	7396	36592	255965
0.37	7875	38692	267451
0.38	8455	40486	277116
0.39	9151	42546	286203
0.4	9767	44125	294853
0.41	10431	46331	302521
0.42	11233	47703	309953
0.43	11717	49241	316454
0.44	12446	51090	322638
0.45	13083	52608	327558
0.46	13813	53819	330421
0.47	14509	55167	334023
0.48	15266	55850	336419
0.49	15654	56631	337209
0.5	16429	57128	335746
0.51	16670	57735	333367
0.52	17205	57976	330989
0.53	17665	57684	325821
0.54	17734	57785	320694
0.55	17824	56483	313502
0.56	18205	55809	305511
0.57	18107	54277	296350
0.58	17922	53163	286407
0.59	17792	51694	274664
0.6	17114	49528	262717
0.61	17007	47696	249460
0.62	16624	44990	235544
0.63	15758	42333	221173
0.64	15266	39488	204994
0.65	14482	37116	189640
0.66	13360	34349	174131
0.67	12576	31064	158675
0.68	11464	27999	142590
0.69	10400	25660	127926
0.7	9408	22792	112974
0.71	8488	19697	98189
0.72	7372	17219	85084
0.73	6339	14769	72470
0.74	5415	12352	60951
0.75	4474	10335	50141
0.76	3779	8379	40780
0.77	2873	6776	32488
0.78	2444	5280	25178
0.79	1910	3997	19314
0.8	1379	2980	13946
0.81	1002	2103	10046
0.82	659	1477	6910
0.83	435	1021	4674
0.84	262	615	2881
0.85	161	353	1733
0.86	100	193	953
0.87	51	97	501
0.88	21	41	247
0.89	12	19	99
0.9	4	7	59
0.91	0	3	20
0.92	1	1	13
0.93	0	2	2
0.94	0	0	3
0.95	0	0	3
0.96	0	0	0
0.97	0	0	0
0.98	0	0	0
0.99	0	0	0
1.0	0	0	0
