nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
0.6606	0.6468	0.6504	0.6617	0.6767	0.7882
0.6608	0.6464	0.6493	0.6604	0.6753	0.7876
0.6588	0.6456	0.6499	0.6606	0.6762	0.7876
0.6667	0.6509	0.6541	0.6651	0.6798	0.7904
0.6649	0.6497	0.6538	0.6643	0.6802	0.7903
0.6622	0.6498	0.6523	0.6637	0.6803	0.7898
0.6671	0.6507	0.6543	0.6657	0.6804	0.7909
0.6668	0.6527	0.6557	0.6656	0.6813	0.7919
0.6655	0.6499	0.6546	0.6652	0.6804	0.7906
0.6576	0.6462	0.6503	0.6597	0.6754	0.7869
0.6584	0.6459	0.6493	0.6595	0.6744	0.7867
0.6575	0.6455	0.6492	0.6597	0.6741	0.7864
0.6588	0.647	0.6512	0.6615	0.6767	0.7877
0.6591	0.6469	0.6496	0.6609	0.6759	0.787
0.6582	0.6472	0.65	0.6598	0.6755	0.7867
0.6597	0.648	0.65	0.6612	0.6761	0.7877
0.6576	0.6465	0.6484	0.6596	0.6749	0.7866
0.6561	0.6465	0.6486	0.6587	0.6747	0.7868
