Cosine Interval	2s	1s	0s
0.0	0	0	1
0.01	0	0	0
0.02	0	0	0
0.03	0	0	0
0.04	0	0	0
0.05	0	1	3
0.06	0	0	3
0.07	0	2	1
0.08	0	0	3
0.09	0	2	2
0.1	0	1	1
0.11	0	0	0
0.12	3	2	4
0.13	1	4	6
0.14	1	2	4
0.15	0	2	11
0.16	5	6	6
0.17	3	11	14
0.18	6	6	21
0.19	8	14	19
0.2	7	14	21
0.21	12	11	30
0.22	11	17	40
0.23	12	26	46
0.24	24	33	41
0.25	32	41	58
0.26	24	33	73
0.27	31	49	82
0.28	56	63	87
0.29	58	83	113
0.3	95	88	112
0.31	85	126	147
0.32	89	123	199
0.33	113	150	190
0.34	156	187	259
0.35	195	227	265
0.36	201	248	352
0.37	252	324	376
0.38	259	377	448
0.39	305	455	502
0.4	450	520	536
0.41	430	585	664
0.42	555	652	702
0.43	620	777	867
0.44	694	846	903
0.45	837	987	973
0.46	875	1039	1029
0.47	1068	1211	1165
0.48	1244	1311	1214
0.49	1289	1493	1414
0.5	1477	1567	1416
0.51	1620	1735	1568
0.52	1760	1916	1610
0.53	1873	2008	1782
0.54	1914	2170	1895
0.55	2169	2283	1953
0.56	2310	2389	2034
0.57	2421	2461	2079
0.58	2492	2513	2150
0.59	2604	2648	2109
0.6	2684	2752	2074
0.61	2671	2621	2112
0.62	2752	2729	2096
0.63	2747	2619	2058
0.64	2847	2633	1920
0.65	2746	2432	1873
0.66	2620	2349	1798
0.67	2476	2167	1660
0.68	2260	2026	1499
0.69	2207	1926	1345
0.7	2007	1735	1294
0.71	1913	1547	1097
0.72	1623	1274	941
0.73	1449	1101	823
0.74	1262	957	707
0.75	1083	745	598
0.76	917	636	475
0.77	732	509	374
0.78	608	395	300
0.79	498	302	247
0.8	406	227	176
0.81	311	152	153
0.82	252	119	108
0.83	225	90	81
0.84	157	61	69
0.85	171	56	29
0.86	103	29	29
0.87	80	25	15
0.88	61	21	8
0.89	36	16	5
0.9	27	14	4
0.91	16	6	0
0.92	4	5	0
0.93	6	2	0
0.94	4	0	0
0.95	16	0	0
0.96	14	0	0
0.97	1	0	0
0.98	0	0	0
0.99	0	0	0
1.0	0	0	0
